Timestamp (microseconds),Sample (V)
1539731773955017,0.002760280766002876
1539731773959019,1.538618041249662E-5
1539731773963021,1.0770326288750409E-4
1539731773967023,0.0015663131659927332
1539731773971025,0.0022863864092978192
1539731773975027,0.0017078660257877354
1539731773979029,0.001504768444342719
1539731773983031,0.0014432237226927047
1539731773987033,0.001363215584547689
1539731773991036,0.0012770529742376913
1539731773995038,0.0012401261412476883
1539731773999040,0.001215508252587677
1539731774003042,0.001178581419597674
1539731774007044,0.0010862643371226666
1539731774011046,0.0010124106711426328
1539731774015048,0.001000101726812641
1539731774019050,9.816383103176396E-4
1539731774023052,9.508659494926464E-4
1539731774027054,9.447114773276366E-4
1539731774031057,9.508659494926464E-4
1539731774035059,9.447114773276366E-4
1539731774039061,9.200935886676254E-4
1539731774043063,9.016301721726239E-4
1539731774047065,9.139391165026156E-4
1539731774051067,9.139391165026156E-4
1539731774055069,9.016301721726239E-4
1539731774059071,8.831667556776224E-4
1539731774063073,8.893212278426321E-4
1539731774067075,8.954757000076141E-4
1539731774071077,8.708578113476306E-4
1539731774075080,8.585488670176111E-4
1539731774079082,8.708578113476306E-4
1539731774083084,8.708578113476306E-4
1539731774087086,8.647033391826209E-4
1539731774091088,8.523943948526291E-4
1539731774095090,8.462399226876194E-4
1539731774099092,8.647033391826209E-4
1539731774103094,8.523943948526291E-4
1539731774107096,8.339309783576276E-4
1539731774111098,8.400854505226096E-4
1539731774115100,8.462399226876194E-4
1539731774119103,8.462399226876194E-4
1539731774123105,8.400854505226096E-4
1539731774127107,8.277765061926179E-4
1539731774131109,8.462399226876194E-4
1539731774135111,8.462399226876194E-4
1539731774139113,8.277765061926179E-4
1539731774143115,8.339309783576276E-4
1539731774147117,8.462399226876194E-4
1539731774151119,8.523943948526291E-4
1539731774155121,8.339309783576276E-4
1539731774159124,8.339309783576276E-4
1539731774163126,8.339309783576276E-4
1539731774167128,8.400854505226096E-4
1539731774171130,8.339309783576276E-4
1539731774175132,8.339309783576276E-4
1539731774179134,8.462399226876194E-4
1539731774183136,8.585488670176111E-4
1539731774187138,8.585488670176111E-4
1539731774191140,8.400854505226096E-4
1539731774195142,8.585488670176111E-4
1539731774199144,8.585488670176111E-4
1539731774203147,8.523943948526291E-4
1539731774207149,8.523943948526291E-4
1539731774211151,8.523943948526291E-4
1539731774215153,8.585488670176111E-4
1539731774219155,8.523943948526291E-4
1539731774223157,8.523943948526291E-4
1539731774227159,8.462399226876194E-4
1539731774231161,8.523943948526291E-4
1539731774235163,8.585488670176111E-4
1539731774239165,8.462399226876194E-4
1539731774243168,8.462399226876194E-4
1539731774247170,8.523943948526291E-4
1539731774251172,8.523943948526291E-4
1539731774255174,8.462399226876194E-4
1539731774259176,8.339309783576276E-4
1539731774263178,8.462399226876194E-4
1539731774267180,8.462399226876194E-4
1539731774271182,8.462399226876194E-4
1539731774275184,8.339309783576276E-4
1539731774279186,8.400854505226096E-4
1539731774283188,8.400854505226096E-4
1539731774287191,8.400854505226096E-4
1539731774291193,8.216220340276081E-4
1539731774295195,8.277765061926179E-4
1539731774299197,8.400854505226096E-4
1539731774303199,8.339309783576276E-4
1539731774307201,8.154675618626261E-4
1539731774311203,8.154675618626261E-4
1539731774315205,8.277765061926179E-4
1539731774319207,8.216220340276081E-4
1539731774323209,8.154675618626261E-4
1539731774327211,8.093130896976164E-4
1539731774331214,8.277765061926179E-4
1539731774335216,8.277765061926179E-4
1539731774339218,8.031586175326066E-4
1539731774343220,8.093130896976164E-4
1539731774347222,8.216220340276081E-4
1539731774351224,8.216220340276081E-4
1539731774355226,8.154675618626261E-4
1539731774359228,8.154675618626261E-4
1539731774363230,8.277765061926179E-4
1539731774367232,8.216220340276081E-4
1539731774371235,8.154675618626261E-4
1539731774375237,8.093130896976164E-4
1539731774379239,8.216220340276081E-4
1539731774383241,8.277765061926179E-4
1539731774387243,8.216220340276081E-4
1539731774391245,8.154675618626261E-4
1539731774395247,8.277765061926179E-4
1539731774399249,8.339309783576276E-4
1539731774403251,8.339309783576276E-4
1539731774407253,8.216220340276081E-4
1539731774411255,8.339309783576276E-4
1539731774415258,8.400854505226096E-4
1539731774419260,8.339309783576276E-4
1539731774423262,8.277765061926179E-4
1539731774427264,8.339309783576276E-4
1539731774431266,8.339309783576276E-4
1539731774435268,8.216220340276081E-4
1539731774439270,7.723862567076134E-4
1539731774443298,7.908496732026149E-4
1539731774447300,8.277765061926179E-4
1539731774451302,8.462399226876194E-4
1539731774455304,8.523943948526291E-4
1539731774459306,8.462399226876194E-4
1539731774463308,8.708578113476306E-4
1539731774467311,8.831667556776224E-4
1539731774471313,8.770122835126126E-4
1539731774475315,8.647033391826209E-4
1539731774479317,8.770122835126126E-4
1539731774483319,8.893212278426321E-4
1539731774487321,8.770122835126126E-4
1539731774491323,8.585488670176111E-4
1539731774495325,8.647033391826209E-4
1539731774499327,8.831667556776224E-4
1539731774503329,8.708578113476306E-4
1539731774507331,8.647033391826209E-4
1539731774511334,8.708578113476306E-4
1539731774515336,8.770122835126126E-4
1539731774519338,8.770122835126126E-4
1539731774523340,8.708578113476306E-4
1539731774527342,8.523943948526291E-4
1539731774531344,8.708578113476306E-4
1539731774535346,8.708578113476306E-4
1539731774539348,8.708578113476306E-4
1539731774543350,8.708578113476306E-4
1539731774547352,8.770122835126126E-4
1539731774551355,8.893212278426321E-4
1539731774555357,8.708578113476306E-4
1539731774559359,8.647033391826209E-4
1539731774563361,8.831667556776224E-4
1539731774567363,8.831667556776224E-4
1539731774571365,8.770122835126126E-4
1539731774575367,8.708578113476306E-4
1539731774579369,8.831667556776224E-4
1539731774583371,8.831667556776224E-4
1539731774587373,8.831667556776224E-4
1539731774591375,8.585488670176111E-4
1539731774595378,8.708578113476306E-4
1539731774599380,8.770122835126126E-4
1539731774603382,8.770122835126126E-4
1539731774607384,8.708578113476306E-4
1539731774611386,8.770122835126126E-4
1539731774615388,8.893212278426321E-4
1539731774619390,8.831667556776224E-4
1539731774623392,8.647033391826209E-4
1539731774627394,8.708578113476306E-4
1539731774631396,8.831667556776224E-4
1539731774635398,8.831667556776224E-4
1539731774639401,8.708578113476306E-4
1539731774643403,8.647033391826209E-4
1539731774647405,8.831667556776224E-4
1539731774651407,8.770122835126126E-4
1539731774655409,8.647033391826209E-4
1539731774659411,8.708578113476306E-4
1539731774663413,8.893212278426321E-4
1539731774667415,8.954757000076141E-4
1539731774671417,8.770122835126126E-4
1539731774675419,8.708578113476306E-4
1539731774679422,8.831667556776224E-4
1539731774683424,8.954757000076141E-4
1539731774687426,8.831667556776224E-4
1539731774691428,8.708578113476306E-4
1539731774695430,8.831667556776224E-4
1539731774699432,8.954757000076141E-4
1539731774703434,8.770122835126126E-4
1539731774707436,8.708578113476306E-4
1539731774711438,8.708578113476306E-4
1539731774715440,8.893212278426321E-4
1539731774719442,8.831667556776224E-4
1539731774723445,8.647033391826209E-4
1539731774727447,8.770122835126126E-4
1539731774731449,8.893212278426321E-4
1539731774735451,8.893212278426321E-4
1539731774739453,8.708578113476306E-4
1539731774743455,8.647033391826209E-4
1539731774747457,8.893212278426321E-4
1539731774751459,8.893212278426321E-4
1539731774755461,8.770122835126126E-4
1539731774759463,8.647033391826209E-4
1539731774763466,8.831667556776224E-4
1539731774767468,8.831667556776224E-4
1539731774771470,8.770122835126126E-4
1539731774775472,8.647033391826209E-4
1539731774779474,8.770122835126126E-4
1539731774783476,8.893212278426321E-4
1539731774787478,8.831667556776224E-4
1539731774791480,8.708578113476306E-4
1539731774795482,8.708578113476306E-4
1539731774799484,8.831667556776224E-4
1539731774803486,8.893212278426321E-4
1539731774807489,8.647033391826209E-4
1539731774811491,8.770122835126126E-4
1539731774815493,8.893212278426321E-4
1539731774819495,8.893212278426321E-4
1539731774823497,8.647033391826209E-4
1539731774827499,8.770122835126126E-4
1539731774831501,8.893212278426321E-4
1539731774835503,8.954757000076141E-4
1539731774839505,8.770122835126126E-4
1539731774843507,8.831667556776224E-4
1539731774847509,9.016301721726239E-4
1539731774851512,9.631748938226381E-4
1539731774855514,9.754838381526298E-4
1539731774859516,9.447114773276366E-4
1539731774863518,9.508659494926464E-4
1539731774867520,9.508659494926464E-4
1539731774871522,9.139391165026156E-4
1539731774875524,9.139391165026156E-4
1539731774879526,9.631748938226381E-4
1539731774883528,9.631748938226381E-4
1539731774887530,9.385570051626269E-4
1539731774891533,9.200935886676254E-4
1539731774895535,9.262480608326351E-4
1539731774899537,9.324025329976449E-4
1539731774903539,9.262480608326351E-4
1539731774907541,8.954757000076141E-4
1539731774911543,8.954757000076141E-4
1539731774915545,9.200935886676254E-4
1539731774919547,9.077846443376336E-4
1539731774923549,8.831667556776224E-4
1539731774927551,8.893212278426321E-4
1539731774931671,8.954757000076141E-4
1539731774935673,8.647033391826209E-4
1539731774939676,8.770122835126126E-4
1539731774943678,8.770122835126126E-4
1539731774947681,9.016301721726239E-4
1539731774951684,9.016301721726239E-4
1539731774955686,8.831667556776224E-4
1539731774959689,8.770122835126126E-4
1539731774963691,8.954757000076141E-4
1539731774967694,8.893212278426321E-4
1539731774971696,8.708578113476306E-4
1539731774975699,8.770122835126126E-4
1539731774979702,8.893212278426321E-4
1539731774983704,9.016301721726239E-4
1539731774987707,8.893212278426321E-4
1539731774991709,8.770122835126126E-4
1539731774995712,8.893212278426321E-4
1539731774999714,9.016301721726239E-4
1539731775003717,8.954757000076141E-4
1539731775007720,8.770122835126126E-4
1539731775011722,8.831667556776224E-4
1539731775015725,9.077846443376336E-4
1539731775019727,9.077846443376336E-4
1539731775023730,8.954757000076141E-4
1539731775027732,8.831667556776224E-4
1539731775031735,9.139391165026156E-4
1539731775035738,9.139391165026156E-4
